day	name	hash	message
 18	Konstantin Lopuhin	a2efd389	clarify: rename r_transform to response_transform
 18	Konstantin Lopuhin	b940606b	this is a test for TunnelingTCP4ClientEndpoint - move into Http11ProxyTestCase
 18	Elias Dorneles	bc1f5353	Merge pull request #1671 from redapple/xmliter-unicode
 18	Konstantin Lopuhin	7af64e8f	py3: remove extra encoding/decoding of url: pass it as bytes only when required
 18	Mikhail Korobov	66f41aba	Merge pull request #1687 from palego/extra-space
 18	Konstantin Lopuhin	0f527849	https proxy tunneling - add a test (not perfect, but covers all impl) and fix for py3
 18	Konstantin Lopuhin	98c060d0	py3: fix http 1.1 test with https, and use self.host everywhere
 18	Konstantin Lopuhin	04f69fd1	add https 1.1 downloader test - localhost is a valid DNS-ID
 18	Konstantin Lopuhin	f403c880	Merge branch 'py3-webclient' into py3-http-downloaders
 18	Konstantin Lopuhin	f2e2ff5e	py3: webclient assumes that urls come from Request.url and are ascii-only
 18	palego	6b905a9a	split-up the assertIn
 18	Konstantin Lopuhin	673df5e4	add webclient test - check that non-standart body encoding matches Content-Encoding header
 18	Konstantin Lopuhin	d3c2b0cf	py3 webclient: I was mistaken about unicode body, revert conversion to bytes and fix HEAD response
 18	Mikhail Korobov	9ef25d7b	Merge pull request #1686 from cclauss/patch-1
 18	cclauss	cd735e37	Simplify if statement
 15	Paul Tremberth	4e447666	Use "unicode" string for lxml.etree.tostring() serialization
 15	Elias Dorneles	3f1f15bc	Merge pull request #1683 from rgtk/patch-2
 15	Ralph Gutkowski	79147a61	Update stats.rst
 15	Ralph Gutkowski	bb38400d	Update Stats Collection documentation
 15	Paul Tremberth	73d78ec9	Add Code of Conduct Version 1.3.0 from http://contributor-covenant.org/
 15	Paul Tremberth	ee4fadc0	Use .read1() if available when using GzipFile
 15	Konstantin Lopuhin	7d44c5dc	py3: unskip tests/test_downloadermiddleware_httpcache.py and scrapy/downloadermiddlewares/httpcache.py
 15	Konstantin Lopuhin	085fdd62	py3 fix for ignoring cache controls - map is not a list
 15	Konstantin Lopuhin	b0648271	py3 fix for rfc1123_to_epoch - "except Exception" was hiding bytes/str error
 15	Konstantin Lopuhin	8330776c	fix error reporting in test: we can fail in process_request too, so result should always be defined
 15	Konstantin Lopuhin	4398d95a	skip this file on py3 again - it has one compression test, sould be done separately
 15	Konstantin Lopuhin	ae6758ee	Merge branch 'py3-http-downloaders' into py3-downloader-middleware
 15	Konstantin Lopuhin	a4ca1668	add https test for http10 handler (no luck with testing https with http11 so far)
 15	Konstantin Lopuhin	96fcf4ce	add a check that byte url is not accepted in http.Response on py3
 15	Paul Tremberth	131f4632	Allow failures for Python 3.5 for now
 15	Konstantin Lopuhin	87849780	some py3 fixes for RFC2616Policy
 15	Konstantin Lopuhin	ea0471e3	py3: fix LeveldbCacheStorage - using bytes as keys and values in leveldb
 15	Konstantin Lopuhin	ddc91dda	py3: fix _BaseTest in httpcache
 15	Konstantin Lopuhin	e7ed1fd7	py3 compat in httpcache - headers are bytes
 15	Konstantin Lopuhin	dbf6cc73	py3: add leveldb to py33 test env, fix anydbm module name on py3
 15	Konstantin Lopuhin	94ab7bee	py3: body to bytes in tests, unskip test file
 14	Konstantin Lopuhin	99f1f2ad	unskip tests and modules ported to py3
 14	Konstantin Lopuhin	81a90c3a	unskip part of test_download_gzip_response on py3, file a twisted issue for the remaining part
 14	Konstantin Lopuhin	2aa6c92f	py3 fixes in tests.mockserver
 14	Konstantin Lopuhin	f46a9d59	skip ftp tests on py3 for now
 14	Konstantin Lopuhin	4950f598	py3: pass http proxy tests
 14	Konstantin Lopuhin	c6f14a39	py3: fix http10 downloader - unicode host expected here
 14	Konstantin Lopuhin	6b79fffa	py3: pass all of HttpTestCase
 14	Konstantin Lopuhin	3509378b	py3: pass first http downloader test, simple crawler works now, yay!
 14	Konstantin Lopuhin	32bb5b68	fix import of test_downloader_handlers.py: use @implementer, move failing on py3 imports into corresponding tests
 14	Konstantin Lopuhin	5c2241cc	py3: fix webclient tests after making ScrapyHTTPClientFactory use bytes as in twisted
 14	Konstantin Lopuhin	8df35bca	rm note to self: to be discussed in PR
 14	Konstantin Lopuhin	ac2cf191	py3: remove comments, utf-8 is fine here: as twisted ultimately uses urllib.parse.quote that assepts bytes and assumes utf-8
 14	Konstantin Lopuhin	e5fb6094	make ScrapyHTTPClientFactory comply to twisted HTTPClientFactory protocol - use bytes (encoding are likely wrong at this stage)
 14	Konstantin Lopuhin	6a412d25	all tests pass in test_webclient.py on py3 - removing from py3-ignores
 14	Konstantin Lopuhin	01783561	py3 fix testRedirect: url is bytes here
 14	Konstantin Lopuhin	30c7b4e4	py3 compat in test_timeoutTriggering cleanup
 14	Konstantin Lopuhin	88f55312	py3 fix in testFactoryInfo - factory attirbutes are bytes in twisted
 14	Konstantin Lopuhin	b5f9bc84	py3 test fixes in test_webclient - expect bytes as page body
 14	Konstantin Lopuhin	ae4aa2c3	py3 test fix: putChild expects bytes as path
 14	Paul Tremberth	85b0e6c9	Travis: run tox with Python 3.5 + add Python 3.5 tests
 14	Konstantin Lopuhin	325b6af6	fix ScrapyHTTPPageGetterTests for py3 - we expect bytes here
 14	Konstantin Lopuhin	945674eb	pass test_externalUnicodeInterference - the logic for py3 is clearly inverse of what was expected in this test, as scrapy Request url must be unicode
 14	Konstantin Lopuhin	1d5ab671	pass test_getPageHead on py3
 14	Konstantin Lopuhin	73ff87c1	decode body from utf-8, as scrapy stores body as bytes, and twisted has already converted  to unicode
 14	Konstantin Lopuhin	9f2be23a	webclient tests, py3: fix setUp, pass test_getPage
 14	Konstantin Lopuhin	f3889b0b	py3 compat: encode delimiter, method and path in ScrapyHTTPPageGetter
 13	Paul Tremberth	a93d49a6	Add Python 3.5 tox env and Python 3.4 tests in Travis CI
 13	Paul Tremberth	1347015a	Refactored test code
 13	Paul Tremberth	d4c7d72b	Add tests for input type in xmliter calls
 13	Elias Dorneles	57f99fc3	Merge pull request #1644 from yarikoptic/master
 13	Paul Tremberth	9fad25f3	Use explicit Unicode and bytes for XML body in tests
 13	Paul Tremberth	2f2c2e80	Merge remote-tracking branch 'origin/master' into xmliter-unicode
 13	Mikhail Korobov	f01fd076	Merge pull request #1661 from redapple/py3-iterators
 12	Paul Tremberth	d7d4ef67	Changes following comments
 12	Paul Tremberth	6ddd8147	Support unicode tags in xml iterators (fixes #1665)
 07	Paul Tremberth	d4872940	PY3: port utils/iterators
 06	Elias Dorneles	95e8ff8b	Merge pull request #1660 from stummjr/patch-4
 06	Valdir Stumm Jr	2abc9bc9	Update deprecated examples
 04	palego	d03d262f	indentation
 03	palego	c702c530	change os.mknod() for open()
